# Quantenoptiklabor: Experiment Aufnahme Photonenstatistik bis n=2 bei unterschiedlichen Leistungen
# Messung vom 20.03.2008, 19:02 Uhr
# Aufnahme von 30 Messungen zu 60 Sekunden: Mittelwert und Standardabweichung
# Daten mit und ohne Trigger: jeweils Messdaten mit Berechnung der tatsächlichen Statistik
# Didaktik der Physik, Universität Erlangen


# Prozentangaben


# Leistung [µW] 	0-Anteile [%]	1- Anteile [%] 	2 Anteile [%]

#Messung mit Trigger
500	80,5304		19,4352		0,0344
450	80,3589		19,609		0,032
400	80,2211		19,7504		0,0286
350	80,0847		19,8908		0,0245
300	79,9675		20,0108		0,0216
250	79,8772		20,105		0,0178
200	79,9089		20,0773		0,0138
150	79,9446		20,0454		0,01
100	79,9453		20,0477		0,007
50	80,0675		19,9288		0,0037

#Berechnung mit Trigger
500	0		99,0856		0,9144
450	0		99,1656		0,8344
400	0		99,2663		0,7337
350	0		99,3791		0,6209
300	0		99,459		0,541
250	0		99,5572		0,4429
200	0		99,6553		0,3447
150	0		99,7467		0,2533
100	0		99,8248		0,1752
50	0		99,9054		0,0946

#Messung ohne Trigger
500	99,7987		0,2011		0,0002
450	99,8179		0,1819		0,0002
400	99,8389		0,161		0,0001
350	99,8595		0,1404		0,0001
300	99,8813		0,1186		0,0001
250	99,9023		0,0977		0
200	99,9215		0,0785		0
150	99,9415		0,0585		0
100	99,9605		0,0395		0
50	99,9802		0,0198		0

#Berechnung ohne Trigger
500	98,9616		1,033		0,0054
450	99,0692		0,9264		0,0044
400	99,1826		0,814		0,0034
350	99,2925		0,705		0,0025
300	99,4061		0,5921		0,0018
250	99,5133		0,4855		0,0012
200	99,6086		0,3907		0,0008
150	99,7078		0,2918		0,0004
100	99,8028		0,197		0,0002
50	99,9006		0,0993		0,0001



# Absolute Zahlen [Hz] (Werte gerundet)

# Leistung [µW] 	0-Zähler [Hz]	1-Zähler [Hz]	2-Zähler [Hz]

# Messung mit Trigger
500	30483		7357		7
450	27330		6669		5
400	23977		5903		4
350	20725		5148		3
300	17361		4344		2
250	14195		3573		2
200	11408		2866		1
150	8503		2132		1
100	5728		1437		0
50	2867		714		0

# Berechnung mit Trigger
500	0		37673		174
450	0		33862		142
400	0		29774		110
350	0		25795		81
300	0		21649		59
250	0		17730		39
200	0		14251		25
150	0		10623		13
100	0		7159		6
50	0		3579		2

# Messung ohne Trigger
500	15967779	32173		16
450	15970852	29108		13
400	15974213	25755		11
350	15977515	22462		8
300	15981008	18975		6
250	15984359	15630		4
200	15987435	12557		3
150	15990632	9364		1
100	15993679	6320		1
50	15996832	3167		0

# Berechnung ohne Trigger
500	15834256	165281		431
450	15851391	148231		351
400	15869468	130239		271
350	15886981	112805		199
300	15905109	94736		144
250	15922214	77682		97
200	15937427	62506		62
150	15953271	46692		33
100	15968470	31514		15
50	15984105	15891		4


