500	30483	7357	7
450	27330	6669	5
400	23977	5903	4
350	20725	5148	3
300	17361	4344	2
250	14195	3573	2
200	11408	2866	1
150	8503	2132	1
100	5728	1437	0
50	2867	714	0
500	0	37673	174
450	0	33862	142
400	0	29774	110
350	0	25795	81
300	0	21649	59
250	0	17730	39
200	0	14251	25
150	0	10623	13
100	0	7159	6
50	0	3579	2
500	15967779	32173	16
450	15970852	29108	13
400	15974213	25755	11
350	15977515	22462	8
300	15981008	18975	6
250	15984359	15630	4
200	15987435	12557	3
150	15990632	9364	1
100	15993679	6320	1
50	15996832	3167	0
500	15834256	165281	431
450	15851391	148231	351
400	15869468	130239	271
350	15886981	112805	199
300	15905109	94736	144
250	15922214	77682	97
200	15937427	62506	62
150	15953271	46692	33
100	15968470	31514	15
50	15984105	15891	4
