# Quantenoptiklabor: Experiment Zwei-Photonen-Interferenz nach Franson
# Messung vom 07.05.2010 und 05.05.2010
# Datenaufnahme: jeder Messpunkt: 1s
# Didaktik der Physik, Universität Erlangen
# Lab-User: Florian Bier

#Aufnahme der Koinzidenzen von den Datektoren an Interferometerausgängen Alice und Bob

# Das Interferometer Alice steht bei allen Messungen auf einer Armlängendifferenz von 50 µm

#Achsenbeschriftung:
# Weg [µm]	Koinz bei Wegunterschied Bob 0µm [Hz]	Koinz bei Wegunterschied Bob 50 µm[Hz]	Koinz bei Wegunterschied Bob 30µm [Hz]


0.0049419	4652.2	3412.4	2824.4
0.0082016	4645.5	3435.8	2831.5
0.012112	4706	3425.2	2867.8
0.017324	4810.5	3557.2	2825.5
0.020584	4824.8	3519.6	2822
0.025797	4942.5	3593	2819.5
0.029707	5022.8	3657.4	2842.3
0.033617	4994.2	3600.2	2854.2
0.037528	5048.1	3748.4	2870.4
0.041438	5059.1	3711.6	2847.9
0.046	5098.9	3741	2833.1
0.049911	5047.1	3779.2	2834.8
0.054472	5011	3717.4	2827.9
0.059033	5019.4	3719.8	2855
0.062943	5025.4	3762.6	2834.8
0.065551	4989.9	3733.4	2845.2
0.071416	4936.6	3788	2853.2
0.075326	4907.4	3726	2844.4
0.079237	4855.5	3755.4	2829.1
0.083798	4771.8	3703.2	2850.4
0.087709	4711.7	3727.8	2869.1
0.091619	4653.8	3689.4	2851
0.09553	4560.7	3672	2867.6
0.09944	4332.2	3665.8	2856.2
0.104	4305.1	3631.6	2839.6
0.10791	4203.4	3571.4	2824.1
0.11247	4084.4	3477.8	2859.2
0.11638	3912.2	3397.4	2843.2
0.12095	3876	3437.4	2834.8
0.1242	3712.5	3370.2	2861
0.12942	3632.3	3396.8	2862.9
0.13268	3468.4	3354	2869
0.13659	3311	3255.6	2867
0.1405	3247	3177.4	2846.9
0.14506	3194.5	3095.8	2847.3
0.15027	2934.5	2963.2	2813
0.15288	2813.2	2985	2833.7
0.15679	2658.8	2841.2	2844.1
0.16135	2616.5	2861.4	2875.4
0.16591	2439.9	2810	2847.9
0.16852	2347.1	2693.2	2831.6
0.17373	2228.3	2646.2	2859.7
0.17699	1986.9	2685	2862.2
0.18155	1840	2586.8	2824.4
0.18546	1732.1	2455.8	2860.8
0.18937	1683.2	2415.6	2838.7
0.19328	1527.2	2373	2871.1
0.19785	1361	2271	2839.3
0.20111	1161.5	2168.2	2839.4
0.20632	1144.9	2205	2846.5
0.21023	1037.3	2130	2835.8
0.21479	1010.4	2060	2867
0.21805	878.8	2043.6	2856.1
0.22131	811.9	2001	2841.5
0.22652	762.2	2007.6	2866.6
0.23043	700.1	1927.2	2832.5
0.23499	712.5	1917.2	2842
0.23825	635.2	1920.6	2906.3
0.24216	605.8	1878	2835.1
0.24738	586.4	1851.2	2835.9
0.25194	572	1872.4	2842.8
0.25455	585.1	1848.8	2827.2
0.25976	575.4	1855	2829.8
0.26367	571.5	1837.4	2834.7
0.26758	610.4	1846.2	2825.3
0.27214	673.7	1917.2	2826.3
