# Quantenoptiklabor: Experiment: Einzelnes Photon am Strahlteiler: Gesetz von Malus
# Messung vom 02.06.2008, 12:34 Uhr
# Aufnahme von 360 Datenpunkten: Messung pro Punkt: 1s
# Photonen am Anfang horizontal polarisiert! Gesetz von Malus: T=100%*cos^2(Winkel)
# Der Datensatz aus dem Experiment kann z.B. zum Auswerten in Excel importiert werden

 
# Didaktik der Physik, Universität Erlangen


#Achsenbeschriftung:
# Winkel[°]	 Koinzidenz von Alice Transmittiert + Trigger[Hz] 

0	16895
1	16938
2	16957
3	16943
4	16992
5	17081
6	17014
7	16879
8	16937
9	16853
10	16721
11	16645
12	16579
13	16432
14	16365
15	16184
16	15968
17	15871
18	15738
19	15490
20	15366
21	15247
22	15001
23	14792
24	14567
25	14292
26	14178
27	13894
28	13657
29	13441
30	13105
31	12867
32	12606
33	12372
34	12081
35	11777
36	11473
37	11251
38	11021
39	10698
40	10440
41	10170
42	9814
43	9516
44	9292
45	8931
46	8561
47	8393
48	8016
49	7717
50	7435
51	7146
52	6880
53	6567
54	6285
55	6007
56	5705
57	5433
58	5195
59	4908
60	4636
61	4373
62	4103
63	3824
64	3622
65	3363
66	3161
67	2890
68	2668
69	2473
70	2224
71	2054
72	1870
73	1681
74	1505
75	1351
76	1193
77	1046
78	911
79	802
80	686
81	562
82	459
83	378
84	286
85	231
86	177
87	123
88	85
89	60
90	49
91	39
92	44
93	65
94	89
95	123
96	168
97	222
98	291
99	364
100	466
101	557
102	660
103	777
104	892
105	1050
106	1186
107	1333
108	1505
109	1652
110	1867
111	2066
112	2236
113	2443
114	2663
115	2842
116	3169
117	3353
118	3591
119	3798
120	4058
121	4298
122	4577
123	4876
124	5150
125	5364
126	5644
127	5963
128	6199
129	6532
130	6793
131	7074
132	7346
133	7646
134	8041
135	8317
136	8613
137	8898
138	9205
139	9506
140	9782
141	10095
142	10331
143	10670
144	10927
145	11261
146	11549
147	11758
148	12085
149	12352
150	12600
151	12905
152	13226
153	13361
154	13608
155	13915
156	14107
157	14324
158	14578
159	14775
160	15039
161	15171
162	15412
163	15565
164	15743
165	15816
165	15966
166	16160
167	16322
168	16437
169	16558
170	16700
171	16812
172	16847
173	16978
174	16983
175	17138
176	17126
177	17203
178	17186
179	17266
180	17202
181	17206
182	17181
183	17216
184	17180
185	17121
186	17011
187	17023
188	16906
189	16858
190	16727
191	16648
192	16539
193	16432
194	16343
195	16137
196	15990
197	15788
198	15670
199	15482
200	15352
201	15068
202	14992
203	14676
204	14483
205	14229
206	14065
207	13798
208	13478
209	13305
210	13031
211	12827
212	12558
213	12320
214	11965
215	11739
216	11424
217	11188
218	10820
219	10566
220	10282
221	10043
222	9691
223	9396
224	9102
225	8775
226	8469
227	8129
228	7885
229	7597
230	7293
231	7012
232	6721
233	6417
234	6130
235	5887
236	5603
237	5258
238	5012
239	4799
240	4491
241	4220
242	3999
243	3739
244	3497
245	3227
246	3046
247	2814
248	2569
249	2396
250	2171
251	2015
252	1785
253	1637
254	1466
255	1303
256	1159
257	1022
258	868
259	778
260	649
261	546
262	449
263	368
264	307
265	236
266	172
267	139
268	99
269	77
270	72
271	68
272	75
273	92
274	129
275	162
276	208
277	265
278	345
279	427
280	512
281	626
282	738
283	877
284	965
285	1119
286	1303
287	1419
288	1607
289	1781
290	1957
291	2136
292	2339
293	2556
294	2775
295	3005
296	3261
297	3476
298	3743
299	3946
300	4189
301	4478
302	4692
303	4998
304	5251
305	5551
306	5891
307	6128
308	6403
309	6709
310	6978
311	7309
312	7569
313	7924
314	8226
315	8496
316	8829
317	9083
318	9357
319	9769
320	10008
321	10355
322	10589
323	10840
324	11188
325	11551
326	11800
327	12049
328	12263
329	12546
330	12941
331	13103
332	13388
333	13609
334	13918
335	14118
336	14381
337	14553
338	14741
339	14942
340	15271
341	15414
342	15678
343	15722
344	15945
345	16086
346	16226
347	16460
348	16547
349	16666
350	16802
351	16891
352	16978
353	17026
354	17036
355	17139
