# Quantenoptiklabor: Experiment Interferenz und Energiekorrelation
# Messung vom 28.09.2008, 08:15 Uhr
# Datenaufnahme: Pro Datenpunkt 10 Messungen mit 1s: Mittelwert und Standardabweichung
# Didaktik der Physik, Universität Erlangen
# Lab-User: P. Bronner

#Aufnahme der Koinzidenzen von Trigger&Transmittiert + Trigger&Reflektiert

#Achsenbeschriftung:
# Weg [nm]	Einzelereignisse [Hz]	Stab Einzel [Hz]	Koinz [Hz]	Stab Koinz [Hz]

61	29221,5	200,0	2752,3	50,5
66	29454,1	156,4	2788,2	49,2
71	29599,4	111,2	2814,1	48,4
75	29531,4	225,0	2772,6	50,5
80	29724,1	141,0	2801,1	25,9
85	29589,5	224,1	2788,5	63,8
91	29956,4	213,0	2841,2	49,4
96	29982,6	246,8	2806,3	59,2
102	30081,3	196,0	2813,7	54,2
107	30010,4	152,2	2768,6	41,7
111	30249,7	116,4	2754,9	42,8
117	30289,9	197,6	2724,3	30,6
122	30496,9	177,5	2728,8	46,8
127	30596,8	130,6	2690,1	80,1
133	30517,5	109,8	2647,2	50,3
138	30505,0	165,3	2596,2	57,3
144	30514,1	103,0	2505,7	51,3
149	30627,3	181,1	2499,3	69,7
154	30748,5	278,3	2470,5	50,2
160	30604,1	130,7	2353,5	66,9
166	30660,2	170,8	2292,3	50,8
171	30701,1	157,1	2280,0	26,4
176	30556,9	217,2	2143,0	69,9
182	30626,9	125,6	2074,8	43,3
188	30657,9	107,6	2056,5	108,4
194	30490,5	243,4	1993,0	54,3
199	30537,0	142,1	1922,2	53,3
204	30490,6	174,2	1885,3	41,7
210	30333,0	122,1	1742,4	35,8
216	30247,7	160,5	1667,8	65,6
222	30056,8	183,5	1585,6	45,1
227	30026,5	216,6	1531,0	43,2
233	30023,8	184,1	1519,8	62,0
239	29848,4	204,5	1414,8	67,1
244	29818,4	141,9	1360,2	67,7
250	29699,5	191,6	1299,3	70,2
257	29613,4	172,6	1265,2	43,4
261	29363,7	212,9	1214,8	42,1
267	29119,9	119,7	1118,7	33,5
273	29071,9	147,3	1115,4	32,6
280	28986,2	249,2	1087,9	47,4
285	28940,3	198,7	1036,3	19,0
291	28709,1	153,9	1025,9	29,2
297	28615,6	254,0	995,1	44,1
303	28497,3	254,2	980,3	25,4
309	28535,7	125,0	1005,8	29,2
314	28323,3	219,1	974,1	24,9
320	28108,6	129,4	1013,6	34,9
327	28032,6	109,7	1014,0	27,1
332	27998,5	179,9	1058,7	38,7
338	27991,0	213,6	1085,0	34,7
345	27884,0	143,7	1154,2	36,1
350	27868,7	152,3	1196,4	41,0
356	27833,7	166,7	1221,8	37,5
363	27712,5	169,6	1312,8	44,0
369	27757,9	256,8	1330,4	40,8
374	27625,9	157,8	1402,5	47,6
381	27789,9	103,6	1426,7	37,3
387	27770,7	163,5	1520,1	63,5
393	27824,4	132,7	1628,7	89,8
399	27855,7	88,2	1681,2	39,9
405	27851,8	182,2	1709,8	73,0
412	27974,9	112,4	1787,9	66,5
418	27945,1	99,9	1936,9	114,1
423	28249,0	184,7	2026,1	49,6
429	28301,0	175,0	2105,4	77,7
436	28375,4	159,8	2151,8	81,3
443	28310,2	88,1	2237,7	43,8
448	28503,2	205,3	2300,5	45,8
454	28697,1	158,9	2406,3	64,5
461	28800,5	141,9	2490,4	34,6
467	28999,8	209,1	2521,6	77,6
473	28945,2	173,1	2567,6	52,5
480	29301,1	139,2	2677,8	34,9
486	29376,2	204,9	2716,2	65,2
492	29480,4	143,0	2751,1	65,2
499	29556,4	236,6	2758,1	41,5
504	29688,5	169,0	2808,1	54,6
512	29875,3	166,2	2827,7	61,2
517	30023,8	283,8	2815,0	67,4
523	30168,9	199,2	2864,1	62,6
530	30038,6	246,6	2827,4	51,7
537	30205,5	246,4	2836,8	71,3
543	30280,4	171,0	2805,7	67,6
549	30262,8	176,2	2803,7	56,3
555	30400,3	163,0	2731,4	59,0
562	30474,5	215,2	2710,7	47,0
568	30500,1	201,4	2601,7	48,1
575	30438,9	91,7	2546,4	37,9
581	30486,7	198,9	2559,4	79,4
587	30425,9	201,6	2461,2	72,8
594	30348,0	164,3	2342,9	47,3
600	30296,5	168,0	2269,7	66,5
607	30265,9	261,9	2156,8	76,5
613	30265,2	115,1	2121,0	65,3
620	30195,9	209,6	2072,0	50,3
626	30022,5	173,5	1978,3	61,2
633	29937,0	220,6	1872,6	49,5
639	29824,7	199,9	1779,0	61,4
646	29533,5	143,2	1630,0	81,1
652	29589,0	211,8	1601,1	83,8
660	29332,6	196,0	1452,5	61,4
665	29275,8	189,5	1408,1	46,5
672	29087,1	203,2	1306,4	69,4
678	28965,1	155,8	1235,6	64,6
685	29003,1	280,6	1209,4	73,7
691	28694,5	175,7	1157,7	27,5
698	28772,6	172,1	1115,1	44,0
705	28517,2	201,8	1051,5	39,4
711	28521,5	161,1	1061,2	22,8
718	28318,0	163,3	984,2	32,9
725	28059,2	169,9	968,6	29,3
732	28032,4	206,1	961,2	29,8
738	27986,0	116,9	959,0	33,3
745	28092,5	167,5	974,2	34,4
751	27804,8	195,9	994,4	22,2
758	27834,8	131,0	992,7	21,8
764	27800,5	144,8	1029,1	34,6
771	27719,6	158,4	1122,5	40,2
778	27775,4	168,6	1157,2	50,3
785	27829,7	150,9	1135,2	40,5
791	27954,0	127,8	1287,2	41,2
798	27821,3	202,0	1294,1	47,9
805	27933,2	147,6	1411,3	69,3
812	28016,1	178,1	1505,9	76,8
818	27977,4	153,3	1527,5	53,1
825	28263,4	139,0	1698,2	63,4
832	28415,4	121,6	1837,7	78,4
839	28419,0	148,5	1934,2	83,3
845	28582,6	153,2	1997,1	68,0
852	28639,5	207,2	2069,3	74,7
859	28874,1	127,0	2176,4	72,0
865	29048,1	148,5	2275,8	75,4
873	29082,2	179,4	2385,8	53,3
879	29269,3	193,1	2446,0	76,4
886	29444,1	231,2	2536,9	57,7
893	29583,1	105,5	2586,6	57,6
899	29730,7	118,0	2631,4	54,7
907	29717,2	209,6	2685,0	60,8
914	29847,4	132,8	2746,3	58,9
920	29979,0	143,2	2788,5	31,2
927	29956,9	181,6	2807,3	48,9
935	30174,4	149,4	2822,6	30,9
941	30279,5	139,1	2882,9	83,7
948	30174,8	149,8	2871,3	49,9
955	30317,1	182,7	2881,8	56,4
962	30404,7	186,6	2857,5	61,0
970	30445,3	150,8	2823,5	58,4
976	30441,9	236,7	2771,3	69,4
983	30513,5	183,6	2747,1	70,8
991	30386,8	131,2	2722,3	34,1
997	30434,8	151,3	2634,5	45,4
1004	30285,5	192,8	2578,4	53,3
1011	30195,1	133,3	2497,1	99,4
1018	30226,7	214,0	2448,0	64,0
1024	30013,2	182,4	2290,3	78,6
1032	29899,8	136,4	2221,0	54,5
1039	29802,9	203,1	2094,9	73,6
1046	29717,7	152,8	2006,3	43,7
1053	29476,7	119,1	1904,4	52,6
