# Quantenoptiklabor: Experiment Zwillingsphotonenquelle
# Messung vom 24.01.2008, 15:43 Uhr
# Mittelwert und Standardabweichung (Stab) aus 60 Messungen zu je 1 Sekunde
# Didaktik der Physik, Universität Erlangen


#Achsenbeschriftung:

#Winkel	Counts Alice	Stab Alice	Counts Bob	Stab Bob	Koinzidenzen	Stab Koinzidenzen
	
0	33976,79661	263,9557474	33979,28814	238,8767536	7751,423729	101,503478
4	33880,57627	239,2236173	33789,55932	232,5983132	7761,79661	95,85772997
8	33156,40678	260,1891827	33173,22034	245,6910053	7714,322034	79,41063428
12	32380,13559	227,2505119	32396,84746	252,873038	7578,389831	80,18199996
16	31457,15254	188,0289207	31499,9661	229,092459	7402,186441	79,97085795
20	29869,15254	194,439988	29920,57627	206,6163401	7191,033898	86,96716039
24	28249,67797	201,9477563	28256,72881	201,0578659	6819,576271	89,97479937
28	26390,05085	208,8365206	26410,38983	190,5465837	6446,915254	94,79063247
32	24494,76271	193,2673865	24511,13559	222,6513165	6000,79661	77,87534143
36	22441,91525	178,4064383	22515,42373	193,2220294	5565,288136	77,27719221
40	20323,23729	179,1023132	20288,0339	167,7476885	5079,966102	74,7769488
44	18013,9661	167,3831458	17985,47458	162,8214532	4579,559322	65,73090267
48	15489,66102	200,9096778	15452,22034	176,6814684	4040,491525	67,90006936
52	13180,35593	162,7944282	13190,89831	155,30939	3489,694915	68,83590269
56	10751,11864	130,6850379	10790,37288	150,3507648	2964,40678	45,97387565
60	9095,237288	131,1560513	9089,305085	100,6198171	2394,881356	60,0731432
64	7138,20339	111,1036742	7068,644068	100,3508697	1984,779661	38,10158936
68	5334,508475	100,1541816	5291,440678	76,4545442	1533,305085	45,03906186
72	3673,457627	62,68871767	3689,559322	56,62402652	1128,254237	32,97384337
76	2407,050847	100,7725117	2368,491525	70,5987403	771,9491525	24,99045494
80	1423,966102	113,9904792	1361,084746	82,23906617	468,8474576	20,31098355
84	793,3389831	92,41113187	744,2033898	59,4220126	237,9491525	16,90694745
88	328,0847458	49,5430948	282,1525424	39,26175245	103,3220339	8,726427187
90	346,1355932	96,11389036	281,4915254	60,09409934	23,55932203	5,059882716



#Laser aus: Dark-Counts	
DC	98,52542373	12,13952214	95,76271186	10,73776637	0,000000	0,000000


