# Quantenoptiklabor: Experiment Zwillingsphotonenquelle mit einzelnen Detektionen
# Messung vom 24.01.2008, 10:36 Uhr
# Aufnahme von 5000 Ereignissen
# Der Datensatz aus dem Experiment kann z.B. zum Auswerten in Excel importiert werden

 
# Didaktik der Physik, Universität Erlangen


#Achsenbeschriftung:
# Alice; Bob

1;0
1;0
0;1
1;0
0;1
1;0
0;1
1;0
1;0
0;1
1;0
1;0
1;0
1;0
1;0
1;1
0;1
0;1
1;0
1;0
1;0
0;1
1;0
1;0
1;1
1;0
0;1
1;0
1;1
1;1
1;0
1;0
1;0
0;1
0;1
0;1
1;0
0;1
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;1
1;0
0;1
0;1
0;1
0;1
0;1
1;0
1;1
0;1
1;0
0;1
1;0
0;1
1;1
0;1
1;0
0;1
1;0
1;1
1;0
1;0
1;1
1;0
1;0
1;0
1;0
1;1
1;0
1;0
0;1
1;0
0;1
1;0
1;0
0;1
1;0
0;1
1;0
0;1
0;1
0;1
0;1
0;1
0;1
0;1
1;0
1;0
0;1
1;0
0;1
0;1
0;1
1;0
1;0
0;1
1;1
1;0
0;1
0;1
1;1
1;0
1;0
1;0
1;0
1;1
0;1
1;0
0;1
1;0
1;0
0;1
1;0
0;1
0;1
1;1
0;1
0;1
0;1
1;0
1;1
0;1
1;0
1;1
0;1
1;1
0;1
1;0
0;1
1;0
0;1
1;0
0;1
0;1
1;0
0;1
1;1
1;0
1;0
0;1
0;1
0;1
1;1
0;1
1;0
1;1
0;1
1;0
0;1
0;1
1;0
1;0
1;0
1;0
0;1
0;1
0;1
0;1
0;1
1;1
0;1
0;1
1;0
1;0
0;1
1;0
1;0
1;0
1;0
0;1
0;1
0;1
1;1
0;1
1;1
0;1
0;1
1;0
0;1
1;1
0;1
0;1
1;0
1;1
0;1
1;1
0;1
1;1
0;1
1;0
0;1
0;1
0;1
1;0
1;1
0;1
1;0
1;0
1;0
0;1
0;1
1;1
0;1
0;1
0;1
0;1
0;1
1;0
1;0
1;1
1;0
1;1
0;1
0;1
0;1
1;1
0;1
1;0
1;0
1;0
1;0
0;1
1;0
1;0
1;0
1;0
1;0
1;0
0;1
1;0
1;0
1;1
0;1
0;1
0;1
1;1
0;1
1;0
1;0
0;1
0;1
1;0
1;0
1;0
0;1
0;1
1;0
1;0
0;1
0;1
0;1
0;1
0;1
1;0
0;1
1;0
1;1
0;1
1;1
0;1
1;0
1;0
0;1
0;1
0;1
0;1
1;0
0;1
0;1
1;1
0;1
0;1
0;1
0;1
1;0
1;0
1;0
1;0
1;0
1;1
1;0
1;0
1;0
0;1
1;1
0;1
0;1
0;1
1;1
0;1
0;1
0;1
0;1
0;1
1;0
0;1
1;0
0;1
1;0
0;1
0;1
1;1
1;0
0;1
1;0
0;1
1;1
0;1
1;0
1;0
1;0
1;1
0;1
0;1
1;0
1;0
0;1
1;0
1;0
1;0
1;1
1;0
1;1
1;0
0;1
0;1
1;0
1;0
1;0
0;1
1;0
1;1
0;1
1;0
1;1
1;0
0;1
1;0
1;0
0;1
1;0
0;1
1;0
1;0
1;0
1;1
1;1
1;0
1;0
1;0
0;1
0;1
1;0
0;1
0;1
1;0
1;0
0;1
0;1
0;1
0;1
0;1
0;1
0;1
1;0
1;1
0;1
1;1
0;1
0;1
0;1
1;1
1;0
0;1
1;0
1;0
1;1
0;1
0;1
1;0
0;1
1;0
1;0
1;0
1;0
1;0
1;0
0;1
1;0
0;1
0;1
1;0
0;1
1;0
1;0
1;1
1;0
0;1
1;1
0;1
1;0
0;1
0;1
1;0
1;0
1;0
0;1
0;1
1;0
1;1
0;1
1;0
1;0
0;1
0;1
1;1
0;1
0;1
0;1
1;1
0;1
0;1
0;1
1;0
1;0
1;0
0;1
0;1
1;1
0;1
0;1
0;1
0;1
1;0
0;1
1;0
1;0
0;1
0;1
0;1
0;1
1;1
0;1
1;0
0;1
1;1
0;1
1;0
