# Quantum-Optic: Experiments with single photons
# Experiment: Entanglement: Hardy inequality 
# measure from 26.04.2008 10:23
# 20 Measurements of probality with standard derivation
# measurement: 10 measurements with 10 seconds
# Lab-user: P. Bronner


# Probability P	Standard-derivation P


# P(-34°|-34°) (P(-34°|-34°) for Alice transmitted and Bob transmitted)

0,0034	0,0004
0,0039	0,0006
0,0034	0,0006
0,0035	0,0009
0,0034	0,0005
0,0036	0,0004
0,0037	0,0007
0,0034	0,0005
0,0036	0,0005
0,0036	0,0007
0,0035	0,0007
0,0037	0,0003
0,0034	0,0005
0,0038	0,0006
0,0042	0,0008
0,0037	0,0008
0,0037	0,0005
0,0034	0,0004
0,0036	0,0006
0,0034	0,0006


# P(18°|-34°) (P(18°|-34°) for Alice transmitted and Bob reflected)
	
0,0021	0,0005
0,0022	0,0005
0,0025	0,0002
0,0022	0,0005
0,0025	0,0006
0,0023	0,0004
0,002	0,0003
0,0024	0,0003
0,0025	0,0006
0,0026	0,0004
0,0023	0,0004
0,0024	0,0005
0,0023	0,0004
0,0026	0,0006
0,0023	0,0004
0,0025	0,0005
0,0025	0,0005
0,0025	0,0004
0,0024	0,0004
0,0025	0,0004


# P(-34°|18°) (P(-34°|18°) for Alice reflected and Bob transmitted)

0,0025	0,0006
0,0025	0,0006
0,0027	0,0006
0,0028	0,0006
0,0027	0,0004
0,0027	0,0006
0,0026	0,0006
0,0026	0,0006
0,0028	0,0005
0,0028	0,0007
0,0025	0,0003
0,003	0,0004
0,0028	0,0004
0,0025	0,0004
0,0024	0,0006
0,0027	0,0006
0,003	0,0006
0,0029	0,0004
0,0028	0,0005
0,0027	0,0004


# P(18°|18°) (P(18°|18°) for Alice transmitted and Bob transmitted)

0,099	0,0036
0,0988	0,0029
0,0998	0,0023
0,0994	0,0044
0,0985	0,002
0,0997	0,0034
0,0996	0,0032
0,0992	0,004
0,0991	0,0017
0,0987	0,003
0,0988	0,004
0,1003	0,0029
0,1	0,004
0,1001	0,0031
0,0991	0,0029
0,0991	0,0029
0,0995	0,0021
0,0997	0,0026
0,099	0,0037
0,0992	0,003

