# Quantum-Optic: Experiments with single photons
# Experiment: Continous datas from experiment existence of photon
# measure from 25.03.2008, 09:18 Uhr
# Lab-user: P. Bronner
# 100 measurements with 1 second


# Didactic of physics, University Erlangen, Germany


#Table:

#Counts D1&T [Hz]	Counts D2&T [Hz]	Counts D1&D2&T [Hz]


3411	3323	4
3353	3375	7
3328	3384	4
3192	3210	1
3407	3348	11
3346	3341	11
3291	3349	6
3364	3326	3
3272	3261	1
3363	3337	5
3236	3334	1
3314	3305	6
3226	3433	6
3392	3390	11
3304	3263	7
3359	3247	4
3265	3318	8
3343	3361	5
3402	3393	7
3369	3205	2
3288	3359	1
3378	3357	2
3310	3232	5
3349	3346	7
3389	3323	4
3379	3353	5
3320	3326	3
3315	3368	11
3288	3314	6
3369	3309	7
3353	3303	5
3395	3279	5
3390	3336	6
3308	3322	1
3309	3259	7
3306	3359	5
3356	3326	4
3309	3300	5
3270	3291	8
3256	3416	5
3310	3260	6
3335	3255	9
3338	3242	5
3353	3359	5
3371	3241	7
3313	3416	5
3272	3494	8
3244	3201	5
3262	3303	3
3325	3299	7
3295	3333	5
3374	3376	9
3352	3253	8
3370	3381	12
3237	3370	5
3362	3285	5
3261	3358	4
3274	3248	3
3293	3282	6
3409	3389	6
3271	3342	7
3408	3336	4
3338	3425	5
3213	3196	3
3336	3350	2
3238	3258	7
3286	3362	3
3165	3339	7
3369	3443	4
3340	3279	5
3475	3398	5
3325	3320	6
3296	3208	6
3243	3453	5
3404	3274	6
3413	3253	4
3298	3273	6
3297	3235	7
3439	3324	3
3297	3409	6
3342	3423	6
3265	3357	2
3233	3367	7
3395	3366	5
3383	3303	3
3275	3321	3
3312	3303	4
3370	3316	4
3251	3345	2
3219	3414	4
3342	3314	4
3300	3262	6
3246	3395	3
3381	3383	2
3370	3336	5
3350	3340	5
3333	3334	7
3318	3327	10
3337	3308	3
