# Quantum-Optic: Experiments with single photons
# Experiment: g2-datas with error from experiment existence of photon
# measure from 20.03.2008, 08:33 Uhr
# Lab-user: P. Bronner
# Laser-repetitionrate: 16 MHZ


# Didactic of physics, University Erlangen, Germany


# Table:
# Counts D1;	Error D1; 	Counts D2;	Error D2;	Counts T;	Error T;	Counts D1&T;	Error D1&T;	Counts D2T;	Error D2T;	Counts D1&D2;	Error D1D2;	Count D1D2T;	Error D1D2T;	g2 without trigger;	Error g2 without;	g2 with trigger;	error g2 with Tr;	Laser-Power [yW]; 	Measure-Time[s];	Number of measurements

# Measure 30*60 seconds

971650,700000000;	1928,580756536;	960647,500000000;	1455,366993650;	2270792,800000000;	4131,686709090;	221116,333333333;	713,366295296;	221075,566666667;	628,030236661;	971,133333333;	29,586498940;	391,900000000;	20,443951976;	1,006848662;	0,030777453;	0,018205022;	0,001010495;	500,000000000;	60,000000000;	30,000000000
881254,033333333;	1396,168512785;	866832,800000000;	1123,547411642;	2040247,333333333;	2832,260390490;	200835,633333333;	516,277089685;	199955,400000000;	474,308614795;	806,233333333;	26,355243322;	327,100000000;	22,265405360;	1,021371786;	0,033453373;	0,016618409;	0,001156025;	450,000000000;	60,000000000;	30,000000000
781706,300000000;	1295,530517082;	764864,200000000;	964,422585871;	1793066,333333333;	2195,610610747;	178162,100000000;	491,230709896;	176539,133333333;	508,929961534;	632,466666667;	24,787000672;	256,466666667;	15,884786331;	1,023691875;	0,040176104;	0,014620794;	0,000924225;	400,000000000;	60,000000000;	30,000000000
683877,733333333;	949,568175299;	664769,800000000;	948,187832403;	1552564,366666667;	1666,563747052;	155839,733333333;	403,950913144;	153396,500000000;	330,063395165;	471,000000000;	17,673280046;	190,633333333;	15,588420400;	1,002606978;	0,037673609;	0,012380974;	0,001021559;	350,000000000;	60,000000000;	30,000000000
578977,666666667;	958,530064765;	560194,466666667;	608,046602872;	1302454,000000000;	1307,544052136;	131663,400000000;	454,169541486;	129278,733333333;	414,670116776;	344,633333333;	20,830156080;	141,033333333;	12,970745155;	1,028291427;	0,062184806;	0,010791753;	0,000999006;	300,000000000;	60,000000000;	30,000000000
477905,233333333;	715,096264720;	460337,266666667;	715,021385421;	1066169,966666667;	1605,501414498;	108577,300000000;	335,189411198;	105985,633333333;	352,457136874;	233,733333333;	11,428739736;	95,400000000;	9,817647727;	1,028163761;	0,050322481;	0,008838708;	0,000919366;	250,000000000;	60,000000000;	30,000000000
384096,366666667;	577,874135164;	369650,366666667;	604,612242985;	856532,200000000;	1099,080317733;	87088,800000000;	265,738320858;	85011,100000000;	317,892776328;	149,966666667;	15,720584646;	59,500000000;	9,149147313;	1,022169596;	0,107175246;	0,006883712;	0,001062269;	200,000000000;	60,000000000;	30,000000000
286454,366666667;	447,627499335;	275534,200000000;	372,785266839;	638171,900000000;	794,470127040;	64734,366666667;	263,798837065;	63261,466666667;	204,549080753;	80,533333333;	8,394305678;	32,466666667;	5,817531965;	0,987425360;	0,102943458;	0,005059426;	0,000908942;	150,000000000;	60,000000000;	30,000000000
193297,533333333;	409,237199015;	185951,100000000;	516,927951359;	429910,333333333;	715,257384748;	43596,466666667;	200,273043503;	42624,266666667;	220,699660693;	36,266666667;	6,236341397;	15,133333333;	3,875060252;	0,976432301;	0,167939953;	0,003501098;	0,000898486;	100,000000000;	60,000000000;	30,000000000
96938,466666667;	324,211907430;	93124,300000000;	338,532344505;	214817,333333333;	479,135092413;	21692,966666667;	145,135485652;	21126,766666667;	134,916496099;	10,066666667;	3,551913844;	4,033333333;	2,251181044;	1,079160602;	0,380807395;	0,001890521;	0,001056089;	50,000000000;	60,000000000;	30,000000000

# measure 30*180 seconds

193777,733333333;	26191,389565556;194109,966666667;	3135,566169888;	444937,266666667;	6791,539498083;	44024,066666667;	663,624578816;	43593,666666667;	678,787272214;	13,466666667;	4,191397868;	5,000000000;	2,639226637;	1,039415573;	0,353097824;	0,001159192;	0,000637717;	35,000000000;	180,000000000;	30,000000000

# Measure 30*240 seconds

193056,100000000;	2046,485454088;	186532,333333333;	2058,105210496;	426118,400000000;	4557,786846478;	42278,266666667;	530,102523157;	41541,100000000;	469,294580672;	8,733333333;	2,664366824;	3,866666667;	1,736689942;	0,938775912;	0,286761882;	0,000938149;	0,000433498;	28,000000000;	240,000000000;	30,000000000
