# Quantenoptiklabor: Experiment Hong-Ou-Mandel dip
# Messung vom 27.06.2008, 13:39 Uhr
# Aufnahme von 280 Schritten in 1ym Abstand (optischer Weg = 2ym)
# Messung: 10 mal für 10s
# Der Datensatz aus dem Experiment kann z.B. zum Auswerten in Excel importiert werden

 
# Didaktik der Physik, Universität Erlangen


#Achsenbeschriftung:
# Wegposition [mm]; 	Detektor 1;	Stabw D1; 	Detektor 2;	Stabw D2; 	Koinzidenzen; 	Stabw Koinz




27,90202    ;   112922,80000    ;   372,97417    ;   109849,60000    ;   422,98810    ;   2470,30000    ;   66,62173
27,90299    ;   113122,00000    ;   415,10962    ;   109772,30000    ;   382,60657    ;   2445,50000    ;   49,21213
27,90401    ;   112924,70000    ;   415,04432    ;   109897,20000    ;   312,73269    ;   2500,80000    ;   43,51960
27,90499    ;   113040,20000    ;   369,76173    ;   110021,40000    ;   347,44023    ;   2498,60000    ;   55,77973
27,90601    ;   113187,30000    ;   333,09660    ;   110049,70000    ;   313,74053    ;   2495,10000    ;   66,73238
27,90698    ;   112910,10000    ;   242,09018    ;   109958,10000    ;   411,10946    ;   2465,00000    ;   43,16892
27,90800    ;   112922,80000    ;   299,14872    ;   109998,70000    ;   305,85547    ;   2451,30000    ;   66,30075
27,90898    ;   113139,90000    ;   359,22276    ;   110084,00000    ;   377,88182    ;   2488,60000    ;   45,33627
27,90999    ;   113177,10000    ;   354,66117    ;   109995,70000    ;   310,62019    ;   2491,20000    ;   46,28847
27,91101    ;   113224,40000    ;   327,98211    ;   110110,30000    ;   333,73711    ;   2473,10000    ;   65,27965
27,91199    ;   112798,60000    ;   220,54790    ;   110046,00000    ;   392,47788    ;   2466,80000    ;   67,64088
27,91300    ;   113118,30000    ;   230,98583    ;   110091,40000    ;   240,72723    ;   2505,90000    ;   39,39106
27,91398    ;   113003,00000    ;   325,65114    ;   110006,50000    ;   373,18159    ;   2468,10000    ;   47,79691
27,91500    ;   113251,90000    ;   293,87656    ;   109962,40000    ;   489,06446    ;   2490,20000    ;   47,39855
27,91598    ;   113045,40000    ;   229,62878    ;   110056,00000    ;   353,73970    ;   2488,90000    ;   51,24766
27,91699    ;   113431,70000    ;   397,87157    ;   110025,40000    ;   376,62926    ;   2491,30000    ;   52,63090
27,91797    ;   113415,50000    ;   449,93462    ;   110064,50000    ;   352,91493    ;   2465,10000    ;   40,39926
27,91899    ;   113259,60000    ;   309,79355    ;   110054,70000    ;   230,00002    ;   2489,40000    ;   56,65529
27,92000    ;   113277,10000    ;   410,63188    ;   110151,80000    ;   447,94117    ;   2461,30000    ;   60,86972
27,92098    ;   112996,60000    ;   305,02830    ;   110206,80000    ;   326,97258    ;   2468,50000    ;   32,68112
27,92200    ;   113407,40000    ;   294,89102    ;   110331,00000    ;   296,76440    ;   2468,20000    ;   45,50165
27,92297    ;   113370,10000    ;   317,22633    ;   110215,70000    ;   277,50678    ;   2499,00000    ;   64,90506
27,92403    ;   113359,70000    ;   330,78461    ;   110239,10000    ;   350,82552    ;   2460,00000    ;   71,77434
27,92497    ;   113366,40000    ;   243,13471    ;   110308,30000    ;   293,54502    ;   2468,40000    ;   25,14491
27,92599    ;   113482,30000    ;   297,35951    ;   110394,30000    ;   364,54722    ;   2464,60000    ;   40,84986
27,92700    ;   113537,30000    ;   326,08555    ;   110217,40000    ;   271,45787    ;   2474,20000    ;   50,92216
27,92798    ;   113361,40000    ;   239,63315    ;   110181,90000    ;   436,56957    ;   2477,80000    ;   39,81848
27,92900    ;   113524,30000    ;   397,67772    ;   110351,20000    ;   361,19579    ;   2474,90000    ;   27,54169
27,92997    ;   113577,00000    ;   278,72926    ;   110506,60000    ;   488,92449    ;   2501,30000    ;   26,54577
27,93099    ;   113622,60000    ;   295,05789    ;   110166,40000    ;   280,82901    ;   2484,10000    ;   19,81834
27,93197    ;   113483,60000    ;   249,54234    ;   110485,80000    ;   151,92089    ;   2517,90000    ;   53,97623
27,93298    ;   113881,30000    ;   482,74011    ;   110598,90000    ;   256,18242    ;   2469,00000    ;   40,98238
27,93404    ;   113677,30000    ;   353,68506    ;   110407,30000    ;   332,54709    ;   2497,80000    ;   42,85324
27,93494    ;   113822,70000    ;   303,44505    ;   110478,80000    ;   261,35961    ;   2467,00000    ;   50,18189
27,93600    ;   113801,30000    ;   519,81344    ;   110483,30000    ;   248,84223    ;   2481,20000    ;   57,74234
27,93697    ;   113828,20000    ;   309,06555    ;   110513,70000    ;   273,61004    ;   2484,50000    ;   46,24872
27,93799    ;   113947,80000    ;   332,27091    ;   110599,50000    ;   339,86836    ;   2514,20000    ;   64,51839
27,93896    ;   113635,50000    ;   423,51210    ;   110602,90000    ;   350,51278    ;   2504,50000    ;   60,05414
27,93998    ;   113798,70000    ;   298,02388    ;   110607,40000    ;   187,18867    ;   2483,90000    ;   62,47213
27,94096    ;   114453,90000    ;   1182,9879    ;   111113,00000    ;   1582,5989    ;   2491,80000    ;   35,51150
27,94202    ;   113886,50000    ;   311,94524    ;   110755,00000    ;   333,60023    ;   2459,20000    ;   44,24628
27,94295    ;   113789,90000    ;   272,28027    ;   110498,30000    ;   250,67777    ;   2515,90000    ;   59,76519
27,94397    ;   113691,30000    ;   255,97181    ;   110602,10000    ;   250,11262    ;   2473,40000    ;   50,44513
27,94499    ;   113785,30000    ;   373,63263    ;   110583,30000    ;   358,98841    ;   2482,40000    ;   46,43562
27,94596    ;   113741,60000    ;   299,27290    ;   110698,10000    ;   224,85820    ;   2502,20000    ;   42,67135
27,94702    ;   113712,70000    ;   349,30377    ;   110518,60000    ;   373,09909    ;   2498,40000    ;   35,82426
27,94796    ;   113636,10000    ;   316,31505    ;   110348,20000    ;   383,29820    ;   2481,80000    ;   46,05263
27,94897    ;   113611,20000    ;   349,30114    ;   110238,60000    ;   456,07777    ;   2466,60000    ;   54,01276
27,94999    ;   113727,50000    ;   351,75031    ;   110536,70000    ;   375,57750    ;   2467,60000    ;   32,61969
27,95097    ;   113710,00000    ;   416,06570    ;   110628,60000    ;   387,53787    ;   2466,20000    ;   46,65667
27,95199    ;   113475,70000    ;   269,52842    ;   110583,30000    ;   280,22057    ;   2475,40000    ;   69,10893
27,95296    ;   113765,00000    ;   316,22882    ;   110419,30000    ;   301,56225    ;   2501,80000    ;   48,35471
27,95398    ;   113669,90000    ;   326,97654    ;   110667,50000    ;   237,82685    ;   2495,10000    ;   39,81750
27,95496    ;   113827,60000    ;   269,65377    ;   110448,90000    ;   283,92270    ;   2483,20000    ;   49,05054
27,95597    ;   113348,40000    ;   399,81251    ;   110301,50000    ;   379,57381    ;   2468,30000    ;   58,38579
27,95695    ;   113306,10000    ;   326,75014    ;   110122,70000    ;   452,87257    ;   2463,10000    ;   24,42426
27,95797    ;   113323,20000    ;   505,71903    ;   110274,20000    ;   893,71793    ;   2476,00000    ;   57,14310
27,95902    ;   114259,20000    ;   2098,2732    ;   111242,00000    ;   2702,4868    ;   2467,20000    ;   51,91831
27,95992    ;   113198,30000    ;   386,90885    ;   109954,10000    ;   288,48164    ;   2477,40000    ;   62,12568
27,96098    ;   113269,50000    ;   326,25935    ;   110101,00000    ;   297,42002    ;   2493,80000    ;   56,02142
27,96195    ;   113469,60000    ;   363,52020    ;   110084,70000    ;   533,03868    ;   2499,70000    ;   51,65925
27,96297    ;   113403,30000    ;   280,82539    ;   110248,70000    ;   336,75677    ;   2458,50000    ;   47,90326
27,96395    ;   113519,90000    ;   271,68260    ;   110158,50000    ;   460,53067    ;   2465,90000    ;   35,92106
